P053 二十七课-剧本的叙事视角27
[00:48:04.038–00:48:06.316] 他先讲述了他的童年吧童年。
[00:48:07.078–00:48:11.564] 然后又讲述了他的少年，而且中年派明显。
[00:48:13.030–00:48:18.252] 我们说在少年派里面既有一个讲述者，就是中年派，还有一个聆听者呢？
[00:48:18.790–00:48:23.628] 还有一个代表我们观众去聆听去质疑的那个家伙，那个记者。
[00:48:25.414–00:48:29.260] 大家去看一下那个视角切换也是非常有趣，因为中年派。
[00:48:31.462–00:48:33.036] 并不严格等。
[00:48:34.438–00:48:37.932] 少年派，我们说这个故事叫少年派的奇幻旅行，对不对？
[00:48:39.942–00:48:42.828] 这个故事叫少年派的奇幻旅行，对吧？
[00:48:44.262–00:48:45.836] 所以故事的人物。
[00:48:47.014–00:48:48.524] 其实是少年派。
[00:48:52.038–00:48:55.180] 但是讲述者其实是。
[00:48:58.022–00:48:58.700] 中年派。
[00:49:01.126–00:49:01.900] 等于。
[00:49:03.302–00:49:05.548] 中年派讲述少年派的故事。
[00:49:06.342–00:49:08.684] 确实是个内视角，但不严格。
[00:49:10.566–00:49:13.196] 因为这个中年派啊不说实话。
[00:49:14.342–00:49:15.180] 所以他是。
[00:49:16.134–00:49:18.668] 约等于。
[00:49:19.942–00:49:20.972] 也很有趣。
[00:49:22.470–00:49:27.724] 大家回去再看一遍好不好？这节课咱们就不留写作的作业了，留点看片的作业。
[00:49:28.262–00:49:30.028] 大家最起码回去把罗生门看了。
[00:49:31.014–00:49:32.364] 把肖申克的救赎砍了。
[00:49:33.446–00:49:34.476] 把少年派看了。
[00:49:35.494–00:49:38.028] 把那个摩登家庭副总统这种看了。
[00:49:38.886–00:49:39.276] 好吧。
[00:49:40.070–00:49:41.804] 去看一下这些大师作品。
[00:49:42.406–00:49:45.132] 在叙事视角上都能玩出什么花来。
[00:49:46.246–00:49:53.836] 这节课咱们只是在理论上概述嘛，我们就说概述，理论上电影的视角分三种。
[00:49:55.782–00:50:01.580] 上帝视角内视角外视角，它脱生于小说写作的所谓的第三人称和第一人称。
[00:50:05.254–00:50:11.084] 但是呢其实在很多理论里面又认为其实所有的视角都是全职视角。
[00:50:11.718–00:50:14.220] 本质上都是全制的，你在那装什么装？
[00:50:14.918–00:50:22.508] 你只是隐藏自己，伪装自己，你不愿让观众知道你是无所不能的上帝，你希望隐藏在他们。
[00:50:23.590–00:50:25.324] 身后或者旁边。
[00:50:26.374–00:50:27.884] 假装成一个现值视角。
[00:50:28.550–00:50:37.452] 所以我们说在实际的运用中，你写创作一个故事的时候，你如果锚定你的故事是全职视角，那么你在里面要去追求现知。
[00:50:37.926–00:50:41.900] 你如果锚定你是一个限制视角，你就要适当的开全只。
[00:50:43.430–00:50:45.100] 这就是我们在实战应用中。
[00:50:46.054–00:50:46.700] 所要注意的。
[00:50:48.710–00:50:49.580] 我希望同学们。
[00:50:50.502–00:50:51.756] 理解这些理论。
[00:50:52.518–00:50:53.900] 然后再去看一些那些。
[00:50:54.694–00:50:55.500] 经典的作品。
[00:50:56.166–00:50:59.884] 多体会，多学习。关于我们的这些知识啊。
[00:51:00.390–00:51:02.604] 我们不能只停留在纸面。
[00:51:03.462–00:51:04.396] 停留在理论。
[00:51:05.286–00:51:08.140] 我们需要知道视角都是些什么。
[00:51:08.742–00:51:10.924] 但是呢也不能完全被他ca死。
[00:51:12.166–00:51:12.588] 为啥？
[00:51:13.350–00:51:13.996] 因为啊。
[00:51:14.726–00:51:16.172] 这个知识这个东西啊。
[00:51:16.678–00:51:19.404] 技术这个东西啊，它其实是发展。
[00:51:20.294–00:51:21.964] 变化的它是流动的。
[00:51:22.534–00:51:28.140] 我们说你看过去啊都是全制视角，现在呢慢慢出现限制视角。
[00:51:28.646–00:51:37.228] 它一直在流动，一直在变化。为什么？我在课上以前说过，其实就是观众啊人民群众的欣赏水平一直在变。
[00:51:38.022–00:51:40.236] 所以呢你得不断的调整自己。
[00:51:41.510–00:51:42.444] 不断的调整。
[00:51:45.318–00:51:54.412] 你太全职了，你就要这个给他们点现制。你太限制了呢，你要给他们点全职。因为人民群众的需求在不断的变。
[00:51:56.006–00:51:59.052] 总体来说，过去肯定是全知多。
[00:51:59.590–00:52:00.876] 全击战绝对的主。
[00:52:01.606–00:52:03.276] 现在呢现汁。
[00:52:04.614–00:52:09.228] 慢慢多起来，但也并没有完全强调全职的风头啊，全职还是主流。
[00:52:09.766–00:52:14.732] 只不过限制越来越多了，我们一定要有这个发展的眼光，而且要知道它为什么发展。
[00:52:15.846–00:52:16.716] 你说为什么发展？
[00:52:20.358–00:52:23.212] 我们来看一下啊，你看啊小说也是。
[00:52:24.006–00:52:29.964] 就过去的文章文体全都是第三人称。现在为什么出现一些第一人称？我给大家讲一讲为什么。
[00:52:31.046–00:52:31.436] 第一。
[00:52:33.030–00:52:37.676] 过去讲述者站在站在上帝视角，我们说上帝视角是个俯视视角。
[00:52:38.886–00:52:43.180] 为什么过去创作者能站在服视视角呢？是因为在过去呀。
[00:52:43.910–00:52:44.780] 我们说古典。
[00:52:45.830–00:52:46.732] 那些年代。
[00:52:48.550–00:52:50.060] 创作者是以文化的人。
[00:52:50.982–00:52:53.196] 他识字啊，他还会写东西。
[00:52:54.054–00:52:55.308] 大部分受众。
[00:52:55.910–00:52:59.756] 大部分我们说讲述者是文化人，授术者。
[00:53:00.326–00:53:01.356] 听的的人呢。
[00:53:05.350–00:53:06.060] 他不识字啊。
[00:53:06.726–00:53:10.220] 所以你当然是站在一个很高的位置。
[00:53:10.822–00:53:23.468] 俯视着讲，哎，我给你们讲个故事啊，从前有个山山上是怎么回事？哎，这边我们讲的差不多了，你别别着急，山下有个村子，你就你确实是在像哄小孩一样。
[00:53:24.134–00:53:24.492] 在讲。
[00:53:26.566–00:53:27.596] 就是一个俯视视角。
[00:53:28.390–00:53:31.244] 电影初期也是电影刚出来的时候那。
[00:53:32.198–00:53:35.948] 这这个能创作电影的人，那也是人中龙凤呀，对不对？
[00:53:36.422–00:53:37.996] 所以他必然有一个俯视在。
[00:53:39.046–00:53:39.948] 但是随着。
[00:53:40.486–00:53:41.452] 现代社会。
[00:53:42.342–00:53:44.524] 的这个这个发展，咱们知道。
[00:53:45.062–00:53:49.388] 你你你你作为一个故事创作者，你的文化水准。
[00:53:50.054–00:53:54.764] 还真不一定有观众高，这是不是观众里面卧铺藏。
[00:53:57.062–00:53:57.772] 所以你看啊。
[00:53:58.662–00:54:00.108] 我们说为什么现在的。
[00:54:01.062–00:54:02.156] 好莱坞的电影。
[00:54:03.270–00:54:03.692] 发展。
[00:54:04.358–00:54:05.676] 最先出现的。
[00:54:06.246–00:54:10.988] 大量的内视角和外视角呢。我刚才说的那些内视角外视角基本上都是。
[00:54:12.070–00:54:12.876] 很现代的。
[00:54:13.382–00:54:14.476] 好莱坞影片为什么？
[00:54:15.078–00:54:17.228] 是因为他们的观众的知识水平。
[00:54:19.014–00:54:21.196] 比我们早更早崛起。
[00:54:22.022–00:54:23.788] 你已经很难。
[00:54:24.390–00:54:25.196] 不是讲故事吧。
[00:54:26.054–00:54:27.084] 你必须平视了。
[00:54:27.878–00:54:28.524] 甚至。
[00:54:29.382–00:54:32.268] 有时候平视都不平视了，你得躲出去了。
[00:54:32.806–00:54:38.796] 我只是给你展示哈，我不解读，你们自己看，我没文化，对吧？外视角了呀。
[00:54:39.462–00:54:42.444] 就是我不解读了，我我何德何能呢？
[00:54:44.902–00:54:45.356] 是不是？
[00:54:46.854–00:54:47.596] 这就是一种。
[00:54:48.390–00:54:48.876] 发展。
[00:54:49.350–00:54:53.260] 很正常啊，不是贬低水，抬高水就很正常。
[00:54:53.958–00:54:54.540] 因为。
[00:54:55.142–00:54:57.740] 家都识字儿，大家其实也都。
[00:54:58.406–00:55:02.220] 阅偏量也很大，大家都懂道理，大家也都念过书。
[00:55:03.494–00:55:04.140] 所以呢。
[00:55:05.030–00:55:13.292] 你要么就带入一个角色讲给我听，你要么呢就去你闪一边，你就给我拍出来，你把这些事情给我拍出来，我自己去分析，自己去解读。
[00:55:14.086–00:55:16.044] 所以呢这种限制视角。
[00:55:18.118–00:55:18.828] 会越来越多。
[00:55:20.646–00:55:21.356] 而且呢。
[00:55:21.830–00:55:25.004] 这是第一个原因，就是知识理解力。
[00:55:25.510–00:55:26.476] 文化层次。
[00:55:27.782–00:55:31.052] 原因。第二个原因呢也是观影习惯的原。
[00:55:32.678–00:55:33.228] 我们说。
[00:55:33.830–00:55:36.300] 现制视角呃或者说叫第一人称视角。
[00:55:38.470–00:55:39.500] 什么都是第一人场。
[00:55:41.318–00:55:42.028] 打游戏。
[00:55:43.878–00:55:45.836] 游戏都是第一人称啊。
[00:55:47.014–00:55:48.076] 明白这意思吗？
[00:55:49.734–00:55:53.004] 现在的年轻观众啊都是打这游戏长大的。
[00:55:53.958–00:55:57.772] 打着那种角色扮演类的游戏，或者你看像我打GTA。
[00:55:58.438–00:56:02.636] 荒野大镖客对吧？如龙就是我喜欢玩的游戏，都是第一人称。
[00:56:03.142–00:56:04.332] 大家习惯了这种。
[00:56:04.838–00:56:07.052] 视角习惯了这种叙事方式了。
[00:56:08.198–00:56:09.388] 这种限制的。
[00:56:10.054–00:56:10.476] 视角。
[00:56:13.030–00:56:16.556] 跟游戏很像，所以它也是时代的一种发展。
[00:56:18.022–00:56:18.540] 我们说。
[00:56:19.366–00:56:29.356] 老老人啊就老观众啊最早接触限制视角的时候，最早出现限制视角影片的时候，老观众看的时候会觉得头晕啊。
[00:56:31.718–00:56:33.900] 他了不用说理解不理解了，头晕都。
[00:56:34.502–00:56:36.268] 为什么他们没打过游戏呀？
[00:56:36.774–00:56:37.548] 他本不适应了。
[00:56:39.078–00:56:41.100] 讲一个很有趣的那个小小。
[00:56:41.990–00:56:42.732] 题外话啊。
[00:56:43.302–00:56:45.324] 就是其实有研究说。
[00:56:45.894–00:56:47.404] 汽车发明以后啊。
[00:56:48.166–00:56:49.324] 经常开车的人。
[00:56:49.862–00:56:51.052] 他的脑回路都变了。
[00:56:52.198–00:56:54.220] 就是从神经回路的，从。
[00:56:55.814–00:56:57.708] 气致性的角度都已经发生变化了。
[00:56:58.374–00:56:59.820] 为啥？因为你开车。
[00:57:00.358–00:57:03.852] 人啊以前走路的速度或者跑步的速度。
[00:57:05.574–00:57:06.828] 就是一个低速状态。
[00:57:07.366–00:57:18.220] 所以你处理信息的时候，哎，右边有个妞，哇，真漂亮，这裙子挺短的。哎，左边这个大汉好像是她老公别揍我，你处理信息就是很详细。
[00:57:20.230–00:57:25.068] 这是你处理信息的一种方式。但是人开上车以后，那车是什么速度啊？
[00:57:25.926–00:57:26.316] 对吧？
[00:57:26.886–00:57:27.948] 一脚油门下去。
[00:57:28.486–00:57:29.260] 100多卖啊。
[00:57:30.374–00:57:31.148] 你就不可能。
[00:57:32.358–00:57:39.948] 详细的处理信息了，你只能大概感觉哦，右边好像有条岔路哦，左边那个车差不多要并过来了。
[00:57:40.486–00:57:42.188] 前面呢有个红灯。
[00:57:43.110–00:57:44.908] 快要变绿了。你在。
[00:57:45.734–00:57:47.052] 大量的处理信息。
[00:57:47.526–00:57:47.884] 所以。
[00:57:48.422–00:57:52.332] 快速肤浅的处理信息。这么说吧，有点像我们刷抖音。
[00:57:54.022–00:57:57.580] 所以导致人脑处理信息的速度变快了。
[00:57:58.054–00:57:59.052] 但是呢变浅。
[00:58:00.422–00:58:09.644] 这不是呃不好啊，更更高效嘛更高效嘛。所以开车都能让大家改变脑回路啊，更不用说。
[00:58:10.790–00:58:11.500] 打游戏了。
[00:58:13.926–00:58:17.132] 更不用说这一代人都是玩电脑打游戏，对吧？
[00:58:18.054–00:58:19.916] 他们处理信息的。
[00:58:20.646–00:58:28.556] 方式视觉和大脑连接这个神经回路的方式已经跟过去的观众不一样了，所以他更喜欢。
[00:58:29.702–00:58:30.348] 第一视角。
[00:58:31.206–00:58:32.748] 更习惯第一视角。
[00:58:33.222–00:58:36.204] 这都很正常，这是发展，明白吧？就是说。
[00:58:36.934–00:58:42.572] 所有的技术都是随着时代在发展的。我们大家一定要有这个发展的观。
[00:58:44.486–00:58:45.964] 就理解他是怎么来的。
[00:58:46.502–00:58:47.116] 你才能。
[00:58:47.622–00:58:48.012] 知道。
[00:58:48.518–00:58:49.356] 他是怎么用的？
[00:58:51.270–00:59:03.852] 这节课呢咱们就讲一讲这个视角，叫概述一下，你理解一下都有哪些视角都是是不同的视角呢？适用哪些场景。你自己在创作故事的时候呢？
[00:59:04.550–00:59:07.372] 进行合理的选择和应用，好不好？
[00:59:07.910–00:59:10.316] 大家回去看一下参考片，再体会体会。
[00:59:10.950–00:59:12.844] 有什么问题咱们以后继续研究。
[00:59:13.318–00:59:13.708] 下课吧。
[00:59:25.862–00:59:26.476] 。
[00:59:52.390–00:59:54.828] 非常感谢曹老师这一年的辛苦教学。
[00:59:55.334–01:00:15.388] 在您的指导下，我们也会变得更加优秀。非常感谢你。呃，感谢查理老师教给我们这么多知识。然后我在查理老师这里也学了很多编剧的东西，然后恭喜查理老师呃三年抱两。然后呃多生贵子，就这样。嗨查理老师，谢谢你一年多的教诲。
[01:00:15.558–01:00:18.444] 多的陪伴，感谢相遇。
[01:00:19.078–01:00:23.468] 英俊客一周年生日快乐，感谢查理老师。
[01:00:25.702–01:00:27.372] 你的光头照照着我们。
[01:00:27.974–01:00:35.372] 感谢查理老师教书育人，祝老师身体健康。希望查理老师以后能越长越帅。
[01:00:39.878–01:00:47.948] 查理老师，这是您的学生在南太平洋给您发来的问候，预祝您在新的一年一帆风顺，满载而归。
[01:00:49.094–01:00:51.180] 感谢茶伊老师为我们打开了。
[01:00:51.942–01:01:04.076] 去殿堂的大门，同时呢也谢谢查理的编剧课陪伴我们度过了过去艰难的一年。hello,查理老师，感谢你过去一年多的。
[01:01:05.062–01:01:26.524] 在我最想学习编剧的时候，是你打开了我新世界的大门，让我真正的走上这条路，让我更坚定了自己的目标，要成为一名出色的职业编剧。感谢查理老师说，虽然做所有事情都像减肥一样有资格试进成。我减肥成功了，我也相信我可以在编剧入行成功。感谢查理老师的编剧课。
[01:01:26.758–01:01:30.732] 让我的创作系统化加快了我的创作进程。
[01:01:32.518–01:01:45.196] 老师你好，我是花里胡哨的咸鱼，一个刚入门的小白，老师的课帮我解决很多技术上的问题，也解决了我的一些困惑。希望老师的课以后越来越好，谢谢老师。
[01:01:47.270–01:02:13.628] 我是22班的学员，特别的惊喜，可以看到老师的编剧课，祝老师新的一年可以牛气冲天，大红大紫。非常感谢查叶老师跟柴叶老师学习的这一年，我已经写完了一部科幻的剧本，并且得到了几个大公司的回复。嗯，希望查理老师呢能够继续将这门优秀的课程办下去，我们的相处呢属于编剧学习。
[01:02:13.702–01:02:19.852] 咸于人格魅力，同时呢也祝愿查理老师的笑容永远这么阳光灿烂下去。
[01:02:26.790–01:02:28.396] 是22个人安达。
[01:02:28.870–01:02:41.580] 04年的时候有参与过老师监制的作品爱奇艺上上签。目前在北京的一家影视公司学习查理的微剧课，让我可以从另一个角度来了解整个行业。
[01:02:42.086–01:02:50.380] 非常感谢查理老师，祝查理老师的编具课一周年快乐，也祝查理老师永远开心，永远可爱。
[01:02:58.182–01:03:18.748] 茶艺老师好，我是R1级23班的小陈，很荣幸能在茫茫的网络人海中找到了查理老师的课程，让我又回到了大学的感觉，然后学习了很多编剧的技巧，编剧的知识，以及收获了很多一起热爱编剧事业的同学们。
[01:03:19.366–01:03:21.772] 林老师的编剧课，一周年快乐。
[01:03:23.206–01:03:31.660] 亲爱的查理老师您好，我是一个东北人，是本山传媒的一名演员，现在是一名新导演。
[01:03:34.534–01:03:51.564] 我呢是查理编剧课的受益者，特别的感恩您在您的课当中让我有信心，而且有方向，能够做好编剧这个行业，然后从事好导演这个行业，再次感恩您。老师，您的课东北人讲话杠杠的，没毛病。
[01:03:53.734–01:04:01.676] 22班女儿去家里老师等你快点想，快快穿头快。
[01:04:03.974–01:04:08.972] 9溜9爱是不知道。
[01:04:10.086–01:04:12.012] 就算你白。
[01:04:13.126–01:04:15.276] 四界。
[01:04:16.806–01:04:21.388] 谢这。
[01:04:23.302–01:04:23.852] 嗯。
